,HAEMATOCRIT,HAEMATOCRIT,HAEMATOCRIT,HAEMATOCRIT,HAEMATOCRIT,HAEMATOCRIT,HAEMATOCRIT,HAEMATOCRIT,HAEMOGLOBINS,HAEMOGLOBINS,HAEMOGLOBINS,HAEMOGLOBINS,HAEMOGLOBINS,HAEMOGLOBINS,HAEMOGLOBINS,HAEMOGLOBINS,ERYTHROCYTE,ERYTHROCYTE,ERYTHROCYTE,ERYTHROCYTE,ERYTHROCYTE,ERYTHROCYTE,ERYTHROCYTE,ERYTHROCYTE,LEUCOCYTE,LEUCOCYTE,LEUCOCYTE,LEUCOCYTE,LEUCOCYTE,LEUCOCYTE,LEUCOCYTE,LEUCOCYTE,THROMBOCYTE,THROMBOCYTE,THROMBOCYTE,THROMBOCYTE,THROMBOCYTE,THROMBOCYTE,THROMBOCYTE,THROMBOCYTE,MCH,MCH,MCH,MCH,MCH,MCH,MCH,MCH,MCHC,MCHC,MCHC,MCHC,MCHC,MCHC,MCHC,MCHC,MCV,MCV,MCV,MCV,MCV,MCV,MCV,MCV,AGE,AGE,AGE,AGE,AGE,AGE,AGE,AGE,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,1566.0,36.490421455938694,4.862861561865109,13.7,33.525,37.1,39.8,56.0,1566.0,12.063729246487867,1.6741942549546056,3.8,11.0,12.3,13.3,17.1,1566.0,4.342017879948914,0.6670233450270643,1.48,3.95,4.38,4.74,7.86,1566.0,8.504980842911877,4.779387394368392,1.1,5.6,7.6,10.2,52.8,1566.0,267.0491698595147,110.6907478980829,10.0,204.0,267.0,330.0,910.0,1566.0,27.99169859514687,2.8222656570226587,15.5,26.9,28.5,29.7,40.8,1566.0,33.04738186462325,1.244490546071747,26.0,32.4,33.2,33.8,38.4,1566.0,84.61015325670498,7.264941794234959,55.8,81.3,85.4,89.1,115.6,1566.0,46.26947637292465,22.275221279446864,1.0,29.0,47.0,63.0,99.0,1566.0,0.36845466155810985,0.4825396474504859,0.0,0.0,0.0,1.0,1.0
M,1743.0,39.785542168674695,6.429526806953843,14.5,35.7,41.2,44.5,69.0,1743.0,13.3653471026965,2.220250056381132,4.6,12.0,13.8,15.0,18.9,1743.0,4.726993689041881,0.8359647097466374,1.72,4.21,4.83,5.29,7.63,1743.0,8.904704532415376,5.168350729859524,1.1,5.8,7.6,10.5,76.6,1743.0,251.56511761331038,113.96526038036933,10.0,181.5,250.0,313.0,1121.0,1743.0,28.444176706827307,2.5602721217282123,14.9,27.4,28.9,29.95,37.8,1743.0,33.596213425129086,1.1912797893497251,26.4,32.9,33.6,34.4,38.1,1743.0,84.61239242685023,6.58900958096759,54.0,81.7,85.3,88.5,104.7,1743.0,46.98106712564544,21.50818036797131,1.0,30.0,49.0,65.0,91.0,1743.0,0.42455536431440044,0.49441718487757086,0.0,0.0,0.0,1.0,1.0
